Record ID Number, ,NID ID,Primary Owner Type,Primary Purpose,latitude,longitude,City,County,Tract_Code,Tracts,Disadvantaged,State,Zip_Code,Congressional District,NID Height (Ft),NID Height Category,Year Completed,Year Completed Category,NID Storage (Acre-Ft),Normal Storage (Acre-Ft),Data Last Updated,Last Inspection Date,Inspection Frequency_Years,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,Tract_Code,Block_Code,,Total_Population_Tract,White_Alone_Tract,White_Alone_Tract_Pct,Black_Alone_Tract,Black_Alone_Tract_Pct,Total_Population_Block,White_Alone_Block,White_Alone_Block_Pct,Black_Alone_Block,Black_Alone_Block_PCT
1,Nederhof Forestry Dam 1,SCD5004,State,Recreation,32.4976,-81.1476,Tillman,Jasper,950100,950100Jasper,TRUE,South Carolina,29943,"South Carolina, Congressional District 06",22,Less than 25 feet,,Undetermined,127,89,9/15/2023,11/14/2017,5,Low,Poor,11/14/2017,Not Required,950100,4087,,5047,2398,47.51%,2076,41.13%,0,0,0.00%,0,0.00%
2,Dutchman Correctional Dam,SC02183,State,Recreation,34.7059,-81.8392,Enoree,Spartanburg,023806,023806Spartanburg,,South Carolina,29335,"South Carolina, Congressional District 04",49,25-50 feet,1976,1970-1979,134,92,9/15/2023,6/28/2017,5,Low,Fair,6/28/2017,Not Required,23806,1062,,2618,1919,73.30%,574,21.93%,18,16,88.89%,1,5.56%
3,Lake Caldwell Lower Dam,SCD5073,,,35.12781585,-82.37805167,Travelers Rest,Greenville,002404,002404Greenville,FALSE,South Carolina,29690,"South Carolina, Congressional District 04",16,Less than 25 feet,,Undetermined,15,,9/11/2024,4/22/2024,,High,Fair,4/22/2024,No,2404,3013,,4085,3869,94.71%,24,0.59%,87,80,91.95%,2,2.30%
4,Hutto Pond Dam,SC02523,Private,Recreation,33.5835,-80.8373,Orangeburg,Orangeburg,010803,010803Orangeburg,,South Carolina,29118,"South Carolina, Congressional District 06",21,Less than 25 feet,,Undetermined,65,38,9/11/2024,1/17/2024,2,High,Fair,1/17/2024,Yes,10803,2015,,1941,515,26.53%,1363,70.22%,10,4,40.00%,6,60.00%
5,Zelene Smith Pond Dam,SC01120,Private,Irrigation,33.786,-81.8178,Johnston,Edgefield,970300,970300Edgefield,TRUE,South Carolina,29832,"South Carolina, Congressional District 03",20,Less than 25 feet,1950,1950-1959,119,87,9/15/2023,7/27/2017,5,Low,Poor,7/27/2017,Not Required,970300,2039,,4147,1831,44.15%,1829,44.10%,47,46,97.87%,0,0.00%
6,Hopkins Pond Dam,SC01824,Private,Other,34.654,-82.7574,Pendleton,Anderson,010702,010702Anderson,,South Carolina,29670,"South Carolina, Congressional District 03",23,Less than 25 feet,1962,1960-1969,68,55,9/15/2023,7/10/2017,5,Low,Poor,7/10/2017,Not Required,10702,1004,,4320,2878,66.62%,938,21.71%,19,16,84.21%,0,0.00%
7,Little Ponderosa Lake Dam,SC02125,Private,Recreation,33.4565,-81.1284,Norway,Orangeburg,011802,011802Orangeburg,,South Carolina,29113,"South Carolina, Congressional District 02",16,Less than 25 feet,1957,1950-1959,101,53,9/15/2023,7/21/2017,5,Low,Poor,7/21/2017,Not Required,11802,1052,,1131,454,40.14%,636,56.23%,18,0,0.00%,18,100.00%
8,Palmetto Place Dam,SC02644,Private,Flood Risk Reduction,33.558,-81.9001,North Augusta,Aiken,020601,020601Aiken,FALSE,South Carolina,29841,"South Carolina, Congressional District 02",18,Less than 25 feet,1992,1990-1999,52,19,9/15/2023,8/8/2017,5,Low,Poor,8/8/2017,Not Required,20601,2016,,3935,2854,72.53%,693,17.61%,170,132,77.65%,23,13.53%
9,Heathwood Dam,SC02631,Private,Recreation,33.2516,-81.3365,Barnwell,Barnwell,970402,970402Barnwell,,South Carolina,29812,"South Carolina, Congressional District 02",18,Less than 25 feet,,Undetermined,70,48,9/15/2023,10/25/2021,3,Significant,Fair,10/25/2021,Yes,970402,2005,,2710,2054,75.79%,391,14.43%,33,26,78.79%,3,9.09%
10,Williams Sediment Pond E,SC12288,Private,Other,33.0231,-79.9277,Moncks Corner,Berkeley,020602,020602Berkeley,,South Carolina,29461,"South Carolina, Congressional District 01",11,Less than 25 feet,1972,1970-1979,60,7,9/15/2023,11/30/2017,5,Low,Fair,11/30/2017,Not Required,20602,2084,,7949,5001,62.91%,2040,25.66%,0,0,0.00%,0,0.00%
