Record ID Number,Address Range Match Indicator,Match Indicator,Match Type,longitude,latitude,County Code,Tract Code,Block Code
1,"4501 US-321, Tillman, SC, 29943",No_Match,,-81.1476,32.4976,,,
2,"216 Snake Swamp Rd, Cope, SC, 29038",Match,Exact,-81.0167,33.3603,75,11704,1072
3,"1563 S 359, Spartanburg, SC, 29302",No_Match,,-81.8378,34.8792,,,
4,"4333 Byrnes Blvd, Florence, SC, 29506",Match,Exact,-79.6706,34.2472,41,400,2013
5,"I-26, Clinton, SC, 29325",No_Match,,-81.8389,34.4902,,,
6,"180 Belue Rd, Gaffney, SC, 29341",Match,Exact,-81.7773,35.0783,21,970102,2021
7,"164 White Tail Rdg, Pickens, SC, 29671",Match,Exact,-82.6884,35.0169,77,10100,2020
8,"I-26, Clinton, SC, 29325",No_Match,,-81.8334,34.4857,,,
9,"2050 US-321, Garnett, SC, 29922",No_Match,,-81.1431,32.4939,,,
10,"2308 S 203, Enoree, SC, 29335",No_Match,,-81.8392,34.7059,,,
11,"130 Cabin 1 Camp Daniels Rd, Elloree, SC, 29047",Match,Non_Exact,-80.5136,33.5524,17,950400,2055
12,"276 Lake Cherokee Rd, Gaffney, SC, 29340",Match,Exact,-81.5726,35.0412,21,970503,1017
13,"345 Powell Rd, Columbia, SC, 29203",Match,Exact,-80.9678,34.1036,79,11421,1016
14,"8055 US-21, Columbia, SC, 29203",No_Match,,-80.9885,34.0918,,,
15,"200 Red Bud Ln, Trenton, SC, 29847",Match,Exact,-81.8301,33.6926,37,970400,3006
16,"400 Cabin Lake Ln, Windsor, SC, 29856",No_Match,,-81.4811,33.5504,,,
17,"199 Bluff Lake Rd, Garnett, SC, 29922",Match,Exact,-81.321,32.5963,49,920500,1130
18,"2240 Camp York Rd, Blacksburg, SC, 29702",Match,Exact,-81.34,35.122,91,61701,3028
19,"624 State Park Rd, Mountain Rest, SC, 29664",No_Match,,-83.1022,34.8647,,,
20,"1613 State Rd 190, Chester, SC, 29706",No_Match,,-81.1841,34.7979,,,
21,"890 Beverly Hills Dr, Chester, SC, 29706",Match,Non_Exact,-81.2626,34.6566,23,20601,1020
22,"1368 Kershaw Camden Hwy, Lancaster, SC, 29720",Match,Exact,-80.7539,34.7016,57,10600,1052
23,"101 Fairway Dr, Cheraw, SC, 29520",Match,Exact,-79.8935,34.6428,25,950601,1039
24,"276 Myrtle Dr, Santee, SC, 29142",No_Match,,-80.482,33.5136,,,
25,"742 T Bishop Rd, Jonesville, SC, 29353",Match,Exact,-81.7088,34.812,87,30800,3040
26,"3871 Wylies Mill Rd, Richburg, SC, 29729",No_Match,,-80.9944,34.7303,,,
27,"277 Paris Mtn State Park, Greenville, SC, 29609",Match,Exact,-82.3906,34.9361,45,2701,1041
28,"160 Asbury Dr, Cleveland, SC, 29635",Match,Exact,-82.6394,35.081,45,4102,2022
29,"62 Fallout Shelter Rd, Travelers Rest, SC, 29690",Match,Exact,-82.3932,34.9528,45,2701,1045
30,"3502 Victorian Dr, Richburg, SC, 29729",Match,Exact,-81.0165,34.7454,23,20700,2001
